id,display_name,works_count,h_index,country_code,works_api_url
https://openalex.org/A5038043083,Sanja Šćepanović,87,11,FI,https://api.openalex.org/works?filter=author.id:A5038043083
https://openalex.org/A5079989349,Nico Hornig,5,2,,https://api.openalex.org/works?filter=author.id:A5079989349
https://openalex.org/A5107177879,Marisol Fonseca-Flores,1,1,,https://api.openalex.org/works?filter=author.id:A5107177879
https://openalex.org/A5031952531,Matthieu Latapy,209,30,FR,https://api.openalex.org/works?filter=author.id:A5031952531
https://openalex.org/A5063367289,Giovanni Petri,134,31,US,https://api.openalex.org/works?filter=author.id:A5063367289
https://openalex.org/A5060834533,Ksenia Mukhina,56,8,RU,https://api.openalex.org/works?filter=author.id:A5060834533
https://openalex.org/A5062286782,Tamm Mikhail,1,0,RU,https://api.openalex.org/works?filter=author.id:A5062286782
https://openalex.org/A5045331047,Hang Jiang,136,26,CN,https://api.openalex.org/works?filter=author.id:A5045331047
https://openalex.org/A5014129887,Hae‐Won Kim,666,90,GB,https://api.openalex.org/works?filter=author.id:A5014129887
https://openalex.org/A5102624520,Shuyan Zhan,3,1,,https://api.openalex.org/works?filter=author.id:A5102624520
https://openalex.org/A5017914184,Stephan Lewandowsky,584,86,US,https://api.openalex.org/works?filter=author.id:A5017914184
https://openalex.org/A5014647140,Aaron Clauset,284,48,US,https://api.openalex.org/works?filter=author.id:A5014647140
https://openalex.org/A5099509706,Talia Stroud,1,0,,https://api.openalex.org/works?filter=author.id:A5099509706
https://openalex.org/A5101761867,Shengchun Huang,21,8,CN,https://api.openalex.org/works?filter=author.id:A5101761867
https://openalex.org/A5086655976,Anne-Marie Nußberger,23,8,GB,https://api.openalex.org/works?filter=author.id:A5086655976
https://openalex.org/A5031278789,Kaitlyn Zhou,21,8,US,https://api.openalex.org/works?filter=author.id:A5031278789
https://openalex.org/A5062199735,Lavinia Dunagan,10,4,US,https://api.openalex.org/works?filter=author.id:A5062199735
https://openalex.org/A5114526119,Mingyue Zha,5,0,US,https://api.openalex.org/works?filter=author.id:A5114526119
https://openalex.org/A5066603590,Liza D. Kelly-Gutiérrez,5,2,MX,https://api.openalex.org/works?filter=author.id:A5066603590
https://openalex.org/A5086011172,Agnieszka Czaplicka,19,7,PL,https://api.openalex.org/works?filter=author.id:A5086011172
https://openalex.org/A5046036512,Kazutoshi Sasahara,126,16,JP,https://api.openalex.org/works?filter=author.id:A5046036512
https://openalex.org/A5086210260,Nicole Schwitter,17,3,GB,https://api.openalex.org/works?filter=author.id:A5086210260
https://openalex.org/A5043059930,Ho-Chun Herbert Chang,56,11,GB,https://api.openalex.org/works?filter=author.id:A5043059930
https://openalex.org/A5109899707,Russell Parker,44,7,US,https://api.openalex.org/works?filter=author.id:A5109899707
https://openalex.org/A5012939002,Myra Cheng,22,7,GB,https://api.openalex.org/works?filter=author.id:A5012939002
https://openalex.org/A5013385420,Francesco Pierri,352,18,DE,https://api.openalex.org/works?filter=author.id:A5013385420
https://openalex.org/A5030641600,Babak Heydari,97,20,US,https://api.openalex.org/works?filter=author.id:A5030641600
https://openalex.org/A5003660402,Tyler Simko,88,7,US,https://api.openalex.org/works?filter=author.id:A5003660402
https://openalex.org/A5100379084,Myeong Soo Lee,968,72,CN,https://api.openalex.org/works?filter=author.id:A5100379084
https://openalex.org/A5092887068,Jordan Llorin,9,2,US,https://api.openalex.org/works?filter=author.id:A5092887068
https://openalex.org/A5037838698,Anna‐Carolina Haensch,29,4,DE,https://api.openalex.org/works?filter=author.id:A5037838698
https://openalex.org/A5024378198,Shreya Havaldar,21,8,US,https://api.openalex.org/works?filter=author.id:A5024378198
https://openalex.org/A5044033735,Theo Araujo,111,26,GB,https://api.openalex.org/works?filter=author.id:A5044033735
https://openalex.org/A5078665583,Isaac Slaughter,6,2,US,https://api.openalex.org/works?filter=author.id:A5078665583
https://openalex.org/A5004836032,Tong Lin,334,76,AU,https://api.openalex.org/works?filter=author.id:A5004836032
https://openalex.org/A5070221432,Patrick Gildersleve,12,5,GB,https://api.openalex.org/works?filter=author.id:A5070221432
https://openalex.org/A5006208781,Yu Zhou,308,57,CN,https://api.openalex.org/works?filter=author.id:A5006208781
https://openalex.org/A5058033787,Giulia Cencetti,53,13,BI,https://api.openalex.org/works?filter=author.id:A5058033787
https://openalex.org/A5087116106,Suhyeon Yoo,15,3,KR,https://api.openalex.org/works?filter=author.id:A5087116106
https://openalex.org/A5097065718,New York University,1,1,,https://api.openalex.org/works?filter=author.id:A5097065718
https://openalex.org/A5059236838,Yong‐Yeol Ahn,238,41,KR,https://api.openalex.org/works?filter=author.id:A5059236838
https://openalex.org/A5054123580,Heleen Janssen,30,10,CA,https://api.openalex.org/works?filter=author.id:A5054123580
https://openalex.org/A5084208311,Daisuke Kikutani,3,0,JP,https://api.openalex.org/works?filter=author.id:A5084208311
https://openalex.org/A5017534262,David A. Lagnado,253,41,DE,https://api.openalex.org/works?filter=author.id:A5017534262
https://openalex.org/A5012601669,Laia Albors Zumel,1,1,ES,https://api.openalex.org/works?filter=author.id:A5012601669
https://openalex.org/A5060864902,Atom Sonoda,11,2,JP,https://api.openalex.org/works?filter=author.id:A5060864902
https://openalex.org/A5015377066,Zachary T. P. Fried,16,4,US,https://api.openalex.org/works?filter=author.id:A5015377066
