id,display_name,works_api_url,h_index,works_count,country_code
https://openalex.org/A5103265539,Amber Gayle Johnson,https://api.openalex.org/works?filter=author.id:A5103265539,1,2,US
https://openalex.org/A5101888873,Yuwei Wu,https://api.openalex.org/works?filter=author.id:A5101888873,9,25,CN
https://openalex.org/A5046535830,Abhimanu Kumar,https://api.openalex.org/works?filter=author.id:A5046535830,14,29,IN
https://openalex.org/A5061633582,Oliver Ferschke,https://api.openalex.org/works?filter=author.id:A5061633582,14,29,US
https://openalex.org/A5022683477,Minzhi Li,https://api.openalex.org/works?filter=author.id:A5022683477,18,114,CN
https://openalex.org/A5075466372,Anthony Lin Zhang,https://api.openalex.org/works?filter=author.id:A5075466372,48,235,AU
https://openalex.org/A5078672329,Xuezhe Ma,https://api.openalex.org/works?filter=author.id:A5078672329,28,112,US
https://openalex.org/A5020702008,Haekyu Park,https://api.openalex.org/works?filter=author.id:A5020702008,9,39,US
https://openalex.org/A5080665667,Austin P. Wright,https://api.openalex.org/works?filter=author.id:A5080665667,6,25,US
https://openalex.org/A5041694845,Will Epperson,https://api.openalex.org/works?filter=author.id:A5041694845,7,14,US
https://openalex.org/A5019731112,Muhammed Ahmed,https://api.openalex.org/works?filter=author.id:A5019731112,2,3,NG
https://openalex.org/A5081136701,Stephane Pinel,https://api.openalex.org/works?filter=author.id:A5081136701,2,2,US
https://openalex.org/A5020153026,Duen Horng Chau,https://api.openalex.org/works?filter=author.id:A5020153026,43,313,US
https://openalex.org/A5030471602,Raj Sanjay Shah,https://api.openalex.org/works?filter=author.id:A5030471602,5,24,US
https://openalex.org/A5110669819,Aastha Agarwal,https://api.openalex.org/works?filter=author.id:A5110669819,4,8,GB
https://openalex.org/A5112487958,Faye Holt,https://api.openalex.org/works?filter=author.id:A5112487958,1,2,US
https://openalex.org/A5007056150,Shirley Anugrah Hayati,https://api.openalex.org/works?filter=author.id:A5007056150,8,28,US
https://openalex.org/A5001729445,Yi-Chia Wang,https://api.openalex.org/works?filter=author.id:A5001729445,2,2,US
https://openalex.org/A5067702238,Matan Halevy,https://api.openalex.org/works?filter=author.id:A5067702238,2,2,US
https://openalex.org/A5108332188,Kunal Chawla,https://api.openalex.org/works?filter=author.id:A5108332188,5,20,IN
https://openalex.org/A5038825611,Ayanna Howard,https://api.openalex.org/works?filter=author.id:A5038825611,29,237,US
https://openalex.org/A5036004533,Yanzhe Zhang,https://api.openalex.org/works?filter=author.id:A5036004533,14,67,US
https://openalex.org/A5100350631,Le Zhang,https://api.openalex.org/works?filter=author.id:A5100350631,46,523,CN
https://openalex.org/A5101434141,Haifeng Xu,https://api.openalex.org/works?filter=author.id:A5101434141,21,161,US
https://openalex.org/A5101884287,Tie‐Yan Liu,https://api.openalex.org/works?filter=author.id:A5101884287,69,557,CN
https://openalex.org/A5101870054,Bin Gao,https://api.openalex.org/works?filter=author.id:A5101870054,36,145,CN
https://openalex.org/A5026227210,Tianlu Wang,https://api.openalex.org/works?filter=author.id:A5026227210,22,91,US
https://openalex.org/A5002296599,Rohit Sridhar,https://api.openalex.org/works?filter=author.id:A5002296599,4,6,US
https://openalex.org/A5024842018,Xuezhi Wang,https://api.openalex.org/works?filter=author.id:A5024842018,39,367,AU
https://openalex.org/A5101664552,Tong Xiang,https://api.openalex.org/works?filter=author.id:A5101664552,7,29,SG
https://openalex.org/A5101587247,Jessica Anderson,https://api.openalex.org/works?filter=author.id:A5101587247,12,83,US
https://openalex.org/A5016585658,Jacob Beel,https://api.openalex.org/works?filter=author.id:A5016585658,1,5,US
https://openalex.org/A5100413576,Ang Li,https://api.openalex.org/works?filter=author.id:A5100413576,14,140,US
https://openalex.org/A5100654854,Bing He,https://api.openalex.org/works?filter=author.id:A5100654854,30,203,CN
https://openalex.org/A5068060952,Zhaoran Ma,https://api.openalex.org/works?filter=author.id:A5068060952,1,1,US
https://openalex.org/A5010637153,Rosta Farzan,https://api.openalex.org/works?filter=author.id:A5010637153,19,107,US
https://openalex.org/A5044671587,Jingfeng Yang,https://api.openalex.org/works?filter=author.id:A5044671587,12,66,CN
https://openalex.org/A5060534526,Hilary Hodgdon,https://api.openalex.org/works?filter=author.id:A5060534526,13,30,US
https://openalex.org/A5068959525,Michael K. Suvak,https://api.openalex.org/works?filter=author.id:A5068959525,41,120,US
https://openalex.org/A5078357516,Dmitry Zinoviev,https://api.openalex.org/works?filter=author.id:A5078357516,14,88,US
https://openalex.org/A5056716039,Rachel E. Liebman,https://api.openalex.org/works?filter=author.id:A5056716039,15,53,CA
https://openalex.org/A5036043139,Ernestine C. Briggs,https://api.openalex.org/works?filter=author.id:A5036043139,34,89,US
https://openalex.org/A5051893584,Vy Duong,https://api.openalex.org/works?filter=author.id:A5051893584,5,7,US
https://openalex.org/A5112492744,Joseph Spinazzola,https://api.openalex.org/works?filter=author.id:A5112492744,42,83,US
https://openalex.org/A5100626780,Honggang Zhang,https://api.openalex.org/works?filter=author.id:A5100626780,48,552,US
https://openalex.org/A5040821714,Dongyeop Kang,https://api.openalex.org/works?filter=author.id:A5040821714,17,159,US
https://openalex.org/A5089601075,Qingxiaoyang Zhu,https://api.openalex.org/works?filter=author.id:A5089601075,2,3,DE
https://openalex.org/A5101815945,Zhou Yu,https://api.openalex.org/works?filter=author.id:A5101815945,29,263,CN
https://openalex.org/A5089522357,Weiyan Shi,https://api.openalex.org/works?filter=author.id:A5089522357,14,61,US
https://openalex.org/A5003473641,Andrew Head,https://api.openalex.org/works?filter=author.id:A5003473641,21,88,US
https://openalex.org/A5066433489,Raymond Fok,https://api.openalex.org/works?filter=author.id:A5066433489,9,29,US
https://openalex.org/A5073233842,Sam Skjonsberg,https://api.openalex.org/works?filter=author.id:A5073233842,5,18,US
https://openalex.org/A5085011940,Daniel S. Weld,https://api.openalex.org/works?filter=author.id:A5085011940,62,214,US
https://openalex.org/A5019933387,Marti A. Hearst,https://api.openalex.org/works?filter=author.id:A5019933387,63,294,US
https://openalex.org/A5051484319,Vipul Raheja,https://api.openalex.org/works?filter=author.id:A5051484319,10,38,SK
https://openalex.org/A5027859418,Dhruv Kumar,https://api.openalex.org/works?filter=author.id:A5027859418,36,353,IN
https://openalex.org/A5066804511,Ryan Koo,https://api.openalex.org/works?filter=author.id:A5066804511,3,10,US
https://openalex.org/A5022752740,Varun Gangal,https://api.openalex.org/works?filter=author.id:A5022752740,14,64,US
https://openalex.org/A5041080886,Ang Lu,https://api.openalex.org/works?filter=author.id:A5041080886,3,3,US
https://openalex.org/A5100370684,Zheng Chen,https://api.openalex.org/works?filter=author.id:A5100370684,24,90,JP
https://openalex.org/A5034389677,Risham Sidhu,https://api.openalex.org/works?filter=author.id:A5034389677,2,3,US
https://openalex.org/A5102948988,Waleed Ammar,https://api.openalex.org/works?filter=author.id:A5102948988,23,62,US
https://openalex.org/A5007851620,Bhavana Dalvi,https://api.openalex.org/works?filter=author.id:A5007851620,18,43,US
https://openalex.org/A5053129557,Madeleine van Zuylen,https://api.openalex.org/works?filter=author.id:A5053129557,12,27,US
https://openalex.org/A5001835135,Sebastian Kohlmeier,https://api.openalex.org/works?filter=author.id:A5001835135,9,20,US
https://openalex.org/A5007903277,Roy Schwartz,https://api.openalex.org/works?filter=author.id:A5007903277,39,250,GB
https://openalex.org/A5112977814,Chu‐Cheng Lin,https://api.openalex.org/works?filter=author.id:A5112977814,13,40,US
https://openalex.org/A5062247330,Jian Pei,https://api.openalex.org/works?filter=author.id:A5062247330,94,763,CN
